time,tot_INT,tot_IE,tot_IMS,tot_reduced,num_INT,num_IE,num_IMS,num_INT_IE,num_INT_IMS,num_IE_IMS
4.0,830.9132756468596,2656.5992691046213,698.3171803042193,290.7019354564085,1322,2118,362,398,1,0
0.0,851.4237711956366,2952.3765103371024,693.4621774994666,0.0,1381,2543,362,5,1,0
1.0,900.2167100950471,2903.5835714376904,693.4621774994666,0.0,1381,2543,362,5,1,0
2.0,896.8670678661034,2829.6775426156387,693.4621774994666,77.25567105099272,1400,2399,362,130,1,0
3.0,868.2870974301292,2751.9425922717724,693.1084825511473,183.92428677915962,1389,2273,362,249,1,0
4.0,835.7949670620662,2672.3126528330395,693.1084825511473,296.04635658595095,1321,2124,361,386,2,0
4.0,836.3582057813562,2671.7296600704963,693.1084825511473,296.06611062920393,1135,2049,361,458,2,0
4.0,835.3455392033636,2672.2362018176486,693.1084825511473,296.57223546004485,1134,2049,361,458,2,0
4.0,836.5065245674639,2671.5600981157677,693.1084825511473,296.57223546004485,1134,2050,361,457,2,0
0.0,853.264206265888,2921.4570191413604,697.7331124869173,0.0,1381,2543,362,5,1,0
1.0,895.0238835816733,2879.6973418255743,697.7331124869173,0.0,1381,2543,362,5,1,0
2.0,868.3260137200206,2812.7029932672003,697.7331124869173,93.69221842002088,1386,2454,362,89,1,0
3.0,840.5566306865253,2732.071627756681,697.7331124869173,202.09296696403672,1366,2321,362,222,1,0
4.0,799.7679944944688,2664.662062066673,696.6496228409999,311.3746584920263,1298,2165,362,371,1,0
0.0,851.6291347497979,2926.4670694467895,699.4738186371866,0.0,1381,2543,362,5,1,0
1.0,897.8913585480847,2880.544196471254,699.1344678144345,0.0,1381,2543,362,5,1,0
2.0,874.3772262422568,2811.398913983974,699.1344678144345,92.65941479310528,1399,2399,361,131,2,0
3.0,842.3260804067605,2744.3195652690683,699.1344678144345,191.78990934351006,1391,2322,361,198,2,0
4.0,788.5528883315621,2687.6200642059734,698.5686238385902,302.8284464576468,1320,2251,361,263,2,0
5.0,913.059111950748,2629.1368230254143,696.8907580907605,238.48332976685256,1155,2191,360,318,3,0
6.0,974.0374615684027,2557.8074053227733,696.4232681868823,247.88622614157887,1224,2106,356,396,7,0
0.0,853.7035035291875,2965.7838820482793,700.5433887162123,0.0,1381,2543,362,5,1,0
1.0,894.9854576212812,2924.501927956184,700.5433887162123,0.0,1381,2543,362,5,1,0
2.0,880.6557561363846,2852.1951069353277,700.5433887162123,86.63652250575366,1382,2456,362,91,1,0
3.0,861.3231840446406,2765.792953857813,700.5433887162123,192.3712476750105,1383,2281,362,253,1,0
4.0,837.8342041075539,2686.436468361174,700.0685788153462,295.69152300959985,1303,2162,362,370,1,0
0.0,857.857234764159,2944.555485776702,699.1712942054368,0.0,1381,2543,362,5,1,0
1.0,909.482636950219,2893.2305200344335,698.8708577616404,0.0,1381,2543,362,5,1,0
2.0,900.8538460925737,2814.333827830126,698.8708577616404,87.52548306195698,1421,2353,362,155,1,0
